1	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
2	de bfm story ce soir la zone euro va t elle encore vivre un été meurtrier l' allemagne première économie européenne pourrait perdre son triple a la situation se détériore en espagne	<eps> bfm story ce soir la zone euro va-t-elle <eps> <eps> encore vive <eps> été meurtrier <eps> allemagne première économie européenne pourrait perdre son triple a la situation se détériore en espagne	_
3	pourquoi ces nouvelles tensions nous serons avec un spécialiste de l' espagne et nous serons avec le député socialiste rapporteur du budget en direct de l' assemblée nationale christian eckert	<eps> ces nouvelles tensions sont <eps> avec un spécialiste de l' espagne et nous serons avec le député socialiste rapporteur du budget <eps> <eps> de l' assemblée nationale christian eckert	_
4	à la une également la syrie et les armes chimiques la russie demande au régime de bachar al assad de ne pas utiliser ces armes	<eps> la une également la syrie et les armes chimiques la russie demande au régime de bachar el assad <eps> ne pas utiliser ses armes	_
5	de quel arsenal dispose l' armée syrienne	quelle <eps> arsenal dispose l' armée syrienne	_
6	quels dégats pourraient provoquer ces armes chimiques	dégâts <eps> pourraient provoquer ses armes chimiques	_
7	un spécialiste jean pierre daguzan nous répondra sur le plateau de bfm story et puis	spécialistes ont bien accusant <eps> nous répondra sur le plateau de bfm story <eps> puis	_
8	après la droite populaire la droite humaniste voici la droite forte deux jeunes pousses de l' ump guillaume peltier et geoffroy didier lancent ce nouveau mouvement pourquoi faire ils sont mes invités ce soir	<eps> la droite populaire la droite humaniste voici la droite forte deux jeunes pousses de l' ump guillaume peltier <eps> geoffroy didier migaud pour quoi <eps> <eps> faire ils sont mes invités ce soir	_
9	et puis c(ette) cette fois ci c' est vraiment la fin <eps> la fin de france soir liquidé par le tribunal de commerce nous en parlerons avec son tout dernier rédacteur en chef dominique de montvalon	<eps> <eps> <eps> cette fois-ci <eps> c' est vraiment la fin à la fin de france soir liquidé par le tribunal de commerce nous en parlerons avec <eps> tout dernier rédacteur-en-chef <eps> <eps> dominique de montvalon	_
10	damien gourlet bonsoir <eps> avec vous ce qu' il faut retenir ce soir dans l' actualité l' actualité ce sont encore les incendies en espagne	damien gourlet bonsoir olivier avec vous ce qu' il faut retenir ce soir dans l' actualité <eps> actualité se sont encore les incendies en espagne	_
11	et les autorités pensaient avoir fait le plus dur pas du tout perrine baglan vous êtes l' envoyée spéciale de bfm tv chez les pompiers depuis quelques heures la vigilance et l' inquiétude ont de nouveau remplacé l' espoir	<eps> les autorités pensent avoir fait le plus dur pas du tout perrine baglan vous êtes l' envoyé spécial de bfm tv chez les pompiers depuis quelques heures la vigilance et l' inquiétude ont de nouveau remplacer l' espoir	_
12	oui effectivement la situation est très évolutive et c' est le vent ici qui dicte sa loi cet après midi les rafales atteignent jusqu' à trente parfois trente cinq kilomètres heure	oui effectivement la situation est très évolutive et c' est le vent ici qui dicte sa loi cet après-midi <eps> les rafales atteignent jusqu' à trente parfois trente cinq kilomètres heure	_
13	autrement dit un feu maîtrisé comme ce matin par exemple	autrement dit un feu maîtrisé comme ce matin par exemple	_
14	ne veut pas pour autant dire un feu complètement éteint et même si les quatre cent quinze sapeurs pompiers français mobilisés étaient un petit peu fatigués aujourd'hui ils travaillent <eps> d' arrache pied néanmoins	ne veut pas pour autant dire un feu complètement éteint <eps> même si les quatre cents quinze sapeurs pompiers français mobilisés était un petit peu fatigué aujourd' hui il travaille d' arrache-pied <eps> néanmoins	_
15	pour quadriller le secteur et vous pouvez peut être entendre	pour quadriller le secteur et vous pouvez peut-être <eps> entendre	_
16	et <eps> voir au dessus de moi les bombardiers d' eau qui continuent de survoler la zone la mission première de ces sapeurs pompiers est de surveiller tous les foyers inactifs	est à voir au-dessus <eps> de moi les bombardiers d' eau qui continue de survoler la zone la mission première de ces sapeurs-pompiers et <eps> de surveiller tous les foyers inactif	_
17	de sorte que aucun d' eux ne s' embrase à nouveau nous étions tout à l' heure a(vec) avec les sapeurs pompiers en mission de reconnaissance et je peux vous dire que l' odeur de brûlé est encore particulièrement intense	de sorte que aucun d' eux ne s' embrase à nouveau nous étions tout à l' heure <eps> avec les sapeurs-pompiers <eps> en mission de reconnaissance et je peux vous dire que l' odeur de brûlé est encore particulièrement intense	_
18	<eps> quinze mille hectares dévastés côté espagnol quatre morts la seule bonne nouvelle c' est que il n' y a pas de gros dégâts matériels	peine quinze milles hectares dévastés coté espagnol quatre morts la seule bonne nouvelle c' est que il n' y a pas de gros dégâts matériels	_
19	oui effectivement (n) les dégâts sont plutôt relativement limités compte tenu de l' intensité de l' incendie nous sommes ici sur les hauteurs de perthus	oui effectivement un les dégâts sont plutôt relativement limité compte tenu de l' intensité de l' incendie nous sommes ici sur les hauteurs de perturber	_
20	le dernier village avant la frontière espagnole et c' est ici même au pied du fort de bellegarde que le brasier a commencé il y a trois jours comme vous pouvez le voir derrière moi	<eps> dernier village avant la frontière espagnole et c' est ici même au pied du fort de belgrade que le brasier a commencé il y a trois jours comme vous pouvez le voir derrière moi	_
21	c' est un secteur très peu habité et les rares maisons isolées ont fort heureusement été sauvées des flammes par l' intervention	<eps> est un secteur très peu habitée et les rares maisons isolées <eps> fort heureusement été sauvées des flammes par l' intervention	_
22	des pompiers néanmoins c' est une zone <eps> extrêmement dense et donc avec beaucoup de végétation un secteur donc à très haut risque les rares riverains que nous avons pu croiser	des pompiers néanmoins c' est une zone est extrêmement dense et donc avec beaucoup de végétation un secteur donc à très haut risque les rares riverains que nous avons pu croiser	_
23	oscillaient tout à l' heure entre la la désolation de voir finalement ce paysage complètement ravagé par les flammes mais aussi l' inquiétude de savoir qu' est ce qu' il pourra se passer dans les prochaines heures dans les	<eps> tout à l' heure entre la la désolation de voir finalement ce paysage complètement ravagé par les flammes mais aussi l' inquiétude de savoir qu' est-ce <eps> qu' il pourra se passer dans les prochaines heures dans les	_
24	prochains jours si effectivement le vent redouble d' intensité	un jour si effectivement le vent redouble d' intensité	_
25	perrine baglan avec amélie pateyron et jean maurice prin la france vous le disiez a envoyé des renforts sur le sol espagnol plus de quatre cents pompiers sept avions bombardiers d' eau sont sur place décision prise par le ministre de l' intérieur manuel valls	baghlan <eps> avec amélie pateyron et jan maurice prin la france vous <eps> disiez envoyer <eps> des renforts sur le sol espagnol plus de quatre cents pompiers sept avions bombardiers d' eau sont sur place décision prise par le ministre de l' intérieur manuel valls	_
26	ce qui se passe en europe doit nous toucher et notamment un pays comme l' espagne qui est	<eps> qui se passe en europe doit nous toucher <eps> notamment un pays comme l' espagne qui est	_
27	en plus frappé par la crise économique et financière évidemment c' est une région que je connais bien hum et qui a déjà été touchée par des incendies tout à fait dramatiques	<eps> plus frappés par la crise économique et financière évidemment c' est une région que je connais bien <eps> et qui a déjà été touché par des incendies tout à fait dramatique	_
28	dans l' actualité également ce nouvel avis de tempête sur la zone euro	dans l' actualité également ce nouvel avis de tempête sur la zone euro	_
29	trois pays dont la pourtant très solide allemagne placée sous perspective négative par l' agence de notation moody' s leur triple a est désormais menacé nicolas de labareyre	trois pays dont la pourtant très solide allemagne placer sous perspective négative par l' agence de notation modise <eps> leur triple a est désormais menacé nicolas de labareyre	_
30	est ce au tour de l' allemagne du luxembourg et des pays bas de perdre leur triple a	<eps> ce autour <eps> de l' allemagne du luxembourg et des pays-bas <eps> de perdre leur triple a	_
31	possible l' agence moody' s a placé hier soir ces pays sous perspectives négatives	<eps> l' agence moody' s a placé hier soir ces pays sous perspective négative	_
32	en clair elle n' exclut pas d' abaisser leur note si la situation se dégrade	en clair elle n' exclut pas d' abaisser leurs notes si la situation se dégrade	_
33	cet avertissement ne panique pas les investisseurs	cet avertissement ne panique pas les investisseurs	_
34	les bourses européennes restent stables ou en légère baisse	<eps> bourses européennes reste stable ou en légère baisse	_
35	cette dégradation n' est certainement pas un signal positif mais ça n' influe pas trop sur les marchés	<eps> dégradation n' est certainement pas un signal positif mais ça n' influe pas trop sur les marchés	_
36	parce que nous avons déjà observé dans le passé des décisions étranges de la part des agences de notations cette baisse de perspective n' aurait pas dû avoir lieu mais dans un sens c' était prévisible	parce que nous avons déjà observé dans le passé des décisions étranges de la part des agences de notation cette baisse de perspective n' aurait pas dû avoir lieu <eps> dans un sens c' était prévisible	_
37	prévisible parce que la crise de la dette n' en finit plus d' inquiéter les analystes pour se justifier moody' s explique qu' il est de plus en plus probable que la grèce sorte de la zone euro et que de nouveaux plans de sauvetage soient nécessaires pour l' espagne et l' italie notamment	prévisible parce que la crise de la dette n' en finit plus d' inquiéter les analystes pour se justifier moodys explique-t-il <eps> <eps> <eps> est de plus en plus probable que la grèce sortent de la zone euro <eps> que de nouveaux plans de sauvetage soit nécessaire pour l' espagne et l' italie notamment	_
38	de tels événements pèseraient sur les pays les plus solides	<eps> tels événements pèserait sur les pays les plus solides	_
39	le fait qu' il y ait une mise sous surveillance négative de l' allemagne c' est simplement le fait de comprendre que si les pays de l' europe sont dans une difficulté plus grande et bien il y aura un coup pour l' allemagne et que ce coup viendrait déstabiliser le les <eps> finances publiques allemandes	<eps> fait qu' il y ait une mise sous surveillance négative de l' allemagne c' est simplement le fait de comprendre que si les pays de l' europe sont en <eps> difficulté plus grande eh bien il y aura un coût pour l' allemagne et que ce coup viendrait déstabiliser le lait des finances publiques allemandes	_
40	pour le moment l' allemagne reste parmi les états considérés comme les plus solvables le ministre des finances allemand assure que son pays continuera d' être je cite l' ancre de stabilité dans la zone euro	<eps> le moment l' allemagne reste parmi les etats considérés comme les plus solvable le ministre des finances allemand assure que son pays continuera d' être je cite l' ancre de stabilité dans la zone euro	_
41	la filière automobile à la veille d' une journée capitale pour son avenir les négociations s' ouvrent demain chez psa sur le plan social qui prévoit la suppression de huit mille postes c' est aussi demain qu' en conseil des ministres le gouvernement doit se pencher sur les mesures de soutien au secteur	la filière automobile à la veille d' une journée capitale pour son avenir les négociations s' ouvrent demain chez psa sur le plan social qui prévoit la suppression de huit milles postes c' est aussi demain qu' en conseil des ministres le gouvernement doit se pencher sur les mesures de soutien au secteur	_
42	et dans ce contexte l' opposition a clairement décidé de s' en prendre à arnaud montebourg	<eps> dans ce contexte l' opposition a clairement décidé de s' en prendre à arnaud montebourg	_
43	le chef de file des députés ump christian jacob reproche au ministre du redressement productif de se comporter en procureur dans le dossier psa le porte parole du groupe centriste jean christophe lagarde regrette de son côté que le ministre parle au lieu d' agir	<eps> chef de file des députés ump christian jacob reproche au ministre du redressement productif de se comporter en procureur dans le dossier psa le porte-parole <eps> du groupe centriste jean-christophe <eps> lagarde regrette de son côté que le ministre parle au lieu d' agir	_
44	nous sommes lassés des moulinets estivaux de monsieur montebourg	<eps> sommes assez des moulinets estivaux de monsieur montebourg	_
45	c' est bien d' être g() d' agiter les bras de faire comme s' il était encore candidat à la primaire socialiste mais aujourd'hui il est ministre de la république il s' agit plus de nous dire je peux faire il a les moyens de faire	c' est bien de hadjout <eps> d' agiter les bras de fer comme s' il était encore candidat à la primaire socialiste aujourd' hui les ministres <eps> de la république il s' agit plus de nous dire je peux faire il a les moyens de faire	_
46	que fait il dénoncer les uns ça ne donne pas de solutions pour les salariés créer cette tension	<eps> fait il dénonçait les en ça ne donne pas des solutions pour les salariés crée cette tension	_
47	qui a conduit le premier ministre à apaiser les choses en recevant lui même les dirigeants de peugeot ça ne s() ça <eps> ne ça n' apporte rien de positif donc la vraie question c' est comment empêcher que ces sites de peugeot ferment c' est même pas encore la réindustrialisation c' est que faites vous	<eps> a conduit le premier ministre à apaiser les choses en recevant lui-même <eps> les dirigeants de peugeot ça ne s ça ça ne ça n' apporte rien de positif donc la vraie question c' est comment empêcher cécile <eps> <eps> de peugeot faire c' est même pas encore la réindustrialisation c' est que faites-vous <eps>	_
48	première réaction d' éric woerth il est soulagé des experts mandatés par bercy ont estimé que la vente des terrains de l' hippodrome de compiègne en deux mille dix était légale l' ancien ministre du budget était soupçonné de les avoir en quelque sorte de les avoir bradés	première réaction d' eric woerth il est soulagé des experts mandatés par bercy ont estimé que la vente des terrains de l' hippodrome de compiègne en deux milles dix était légale l' ancien ministre du budget étaient soupçonnés de les avoir en quelque sorte brader <eps> <eps> <eps>	_
49	c' est vrai que les rapports d' expertises sont de juridiques <eps> <eps> sont des rapports qui me donnent raison donc c' est évidemment toujours un c' est d' abord un soulagement voilà	<eps> est vrai que les rapports d' expertise on aurait dit que ce sont des rapports qui me donne raison donc c' était évidemment toujours hein c' est d' abord un soulagement <eps>	_
50	c' est la confirmation de ce que je dis depuis deux ans cette vente était légale évidemment	c' est la confirmation de ce que je dis depuis deux ans cette vente est légale évidemment	_
51	et dans l' intérêt de l' état	si dans l' intérêt de l' etat	_
52	ceux qui ont dit le contraire avaient soit une arrière pensée politique très forte soit d' autres dossiers à défendre derrière cela soit tout simplement essayaient de me de me nuire comme ça arrive malheureusement trop souvent dans la vie politique quand elle est mal accomplie	ce qui ont dit le contraire avait soit une arrière pensée politique très forte soit d' autres dossiers à défendre derrière cela soient tout simplement essayer de me <eps> <eps> nuire comme ça arrive malheureusement trop souvent dans la vie politique quand elle est mal accompli	_
53	un mois après la fusillade qui a fait deux morts devant la discothèque de le théâtro à lille le tireur présumé et l' homme avec lequel il avait pris la fuite viennent d' être présentés à un juge lillois ils avaient été arrêtés en espagne	un mois après la fusillade qui a fait deux morts devant la discothèque <eps> le teatro à lille le tireur présumé est l' homme avec lequel il avait pris la fuite viennent d' être présenté <eps> un juge lillois ils avaient été arrêtés en espagne	_
54	après quelques jours de cavale c' est aujourd'hui <eps> que les autorités espagnoles les ont extradés vers la france	après quelques jours de cavale c' est aujourd' hui que les autorités espagnoles les ont extradé vers la france	_
55	cinq mille nouveaux réfugiés depuis trois jours en jordanie des camps d' accueil en iraq désormais l' exode des syriens s' intensifie le liban	cinq milles nouveaux réfugiés depuis trois jours en jordanie des camps d' accueil en irak désormais l' exode des syriens s' intensifient le liban	_
56	fait évidemment partie des portes de sortie avec une particularité là bas en raison de la forte diaspora syrienne on se retrouve avec une cohabitation très tendue entre pro et anti bachar	fait évidemment partie des portes de sortie avec une particularité là bas en raison de la forte diaspora syrienne on se retrouve avec une cohabitation très tendu entre pro et anti bâche	_
57	à tripoli dans le nord du pays reportage des envoyés spéciaux de bfmtv <eps> laetitia soudy et quentin baulier	<eps> tripoli dans le nord du pays reportages des envoyés spéciaux de bfm tv laetitia soudy et quentin bollier	_
58	bab el tabbaneh dans le centre de tripoli ici plusieurs comités se sont constitués pour aider les réfugiés syriens comme cette femme	belle tabac né dans le centre de tripoli ici plusieurs comités se sont constituées pour aider les réfugiés syriens comme cette femme	_
59	le quartier soutient en effet les opposants des sunnites comme eux qui veulent mettre fin a plus de dix ans de répression	le quartier soutient en effet les opposants <eps> sunnites comme <eps> qui veulent mettre fin à plus de dix ans de répression	_
60	le régime syrien a atteint un niveau extrême de cruauté de meurtre	le régime syrien a atteint un niveau extrême <eps> cruauté demeure <eps>	_
61	pour cette raison nous voulons sa fin	pour cette raison nous voulons sa femme	_
62	le conflit syrien est très présent ici à tripoli car les deux camps se font face en contrebas ces immeubles soutiennent l' opposition quelques mètres plus haut dans cette rue c' est le portrait de bachar al assad qui est brandi	le conflit syrien est très présent ici à tripoli car les deux camps se font face en contrebas ces immeubles soutiennent l' opposition quelques mètres plus haut dans cette rue c' est le portrait de bachar al assad qui est brandi	_
63	alors ici les affrontements sont fréquents ces impacts sur cet immeuble le prouvent ali fadah est alaouite il représente un parti pro syrien pour lui faire tomber bachar al assad serait une menace pour le liban	alors ici les affrontements sont fréquents ces impacts sur cet immeuble le prouvent fada <eps> est alaouites il représente un parti pro-syrien <eps> pour lui faire tomber bachar el assad serait une menace pour le liban	_
64	<eps> <eps> cela a un impact sur la relation entre la syrie et le liban qui dure depuis des années on coopère on est deux voisins donc notre zone ne doit pas être une route pour attaquer la syrie et ce qu' ils font est une intervention dans un problème syrien	s bonnabry cela a un impact sur la relation entre la syrie et le liban qui dure depuis des années on coopère on est deux voisins donc notre zone ne doit pas être une route pour attaquer la syrie est ce qu' ils font est une intervention dans un problème syrien	_
65	mais certains habitants regrettent cette tension	<eps> certains habitants regrette cette tension	_
66	et nous c' est pareil on est pas heureux et eux non plus on <eps> <eps> doit vraiment trouver une solution <eps> <eps> <eps> <eps> <eps> <eps> <eps>	<eps> nous c' est pareil mais <eps> pas heureux et <eps> non plus mâché allaient bon doit vraiment trouver une solution non pas alors bon mais pas avant	_
67	a tripoli l' armée très présente tente donc de garder un calme toujours précaire	<eps> tripoli l' armée très présent tente donc de garder un calme toujours précaire	_
68	les jeux olympiques j moins trois les anneaux olympiques en guise de comité d' accueil	les jeux olympiques j moins trois les anneaux olympiques en guise de comité d' accueil	_
69	et la gare de saint pancras qui marque la fin de la grande transhumance des athlètes français un gros contingent	m lagarde saint-pancras <eps> <eps> <eps> qui marque la fin de la grande transhumance des athlètes français un gros contingent	_
70	a débarqué vous reconnaissez laure manaudou il y a également yannick agnel qui est présent le grand qui est là des sportifs qui pourraient bien faire le voyage retour avec une médaille dans les bagages la délégation des nageurs est officiellement à londres	débarquer <eps> vous reconnaissez laure manaudou il y a également yannick daniel qui est présent le grand qui est là des sportifs qui pourrait bien faire le voyage retour avec une médaille dans les bagages la délégation des nageurs est officiellement à londres	_
71	(h) le voyage s' est bien passé et je suis attendue donc je <eps> répondrai plus tard si c' est possible	c' <eps> <eps> <eps> est bien passé <eps> je suis attendue donc je ne répondrai plus tard <eps> c' est possible	_
72	belle ambiance la marseillaise dès qu' on arrive c' est sympa ça fait plaisir on va arriver cet après midi au village	<eps> ambiance la marseillaise dès qu' on arrive c' est sympa ça fait plaisir pas arrivé <eps> cet après-midi <eps> au village	_
73	ça va vraiment lancer les jeux olympiques et et nous mettre dans l' ambiance et on a vraiment hâte de de pouvoir performer <eps> ici	ça va vraiment lancé les jeux olympiques et <eps> nous met dans l' ambiance en <eps> a vraiment hâte de <eps> pouvoir faire formé ici	_
74	on y est maintenant dernière dernier jour de ligne droite donc on va paufiner tous les petits détails et voila ça fait super <eps> plaisir de <eps> d' arriver d' entendre la marseillaise les anneaux et tout ça on est y a plus qu' à	on y est maintenant dernier dernier jour de lignes droites <eps> on va peaufiner <eps> les petits détails voilà <eps> ça peut se faire plaisir d' aire d' arrivée d' entendre la marseillaise les annonces <eps> <eps> <eps> on <eps> y est applicable <eps> <eps>	_
75	voila <eps> y a plus qu' à y a plus qu' à jeter un oeil sur le temps de demain matin on va découvrir ensemble voilà	voilà il y a plus qu' il y a plus qu' acheter aussi un oeil sur le temps de demain matin on va découvrir ensemble voilà	_
76	no comment il y a deux petits nuages pour la région niçoise et la corse le reste c' est formidable et les températures très douces vous allez le voir dès le lever du jour treize à lille seize à paris et bayonne dix sept à lyon et vingt degrés à bastia	<eps> <eps> il y a deux petits nuages pour la région niçoise et la corse le reste c' est formidable et les températures très douces vous allez le voir dès le lever du jour très à lille seize à paris et bayonne dix sept à lyon et vingt degrés à bastia	_
77	merci damien gourlet on vous retrouve à	merci damien gourlet on vous retrouve à	_
78	dix huit heures trente après	<eps> huit heures trente après	_
79	la droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	<eps> droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	_
80	guillaume peltier et geoffroy didier lancent ce nouveau mouvement de quoi s' agit il je les ai invités pour en parler geoffroy didier bonsoir guillaume peltier bonsoir vous êtes tous deux secrétaires nationaux à l' ump	guillaume peltier <eps> geoffroy didier lance ce nouveau mouvement de quoi s' agit-il <eps> je les ai invité pour en parler geoffroy didier bonsoir guillaume peltier bonsoir vous êtes tous deux secrétaires nationaux à l' ump	_
