1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	<eps> PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP <eps> <eps> <eps>	_
2	PREP PROPN XFAMIL PDEMMS NMS DETFS NFS PROPN VERB PUNCT PPER3FS ADV VERB DINTMS NMS ADJMS PREP PROPN ADJFS NFS ADJFS VERB VERB DET NMS PREP DETFS NFS PREF VERB PREP PROPN	<eps> PROPN XFAMIL PDEMMS NMS DETFS NFS PROPN PUNCT <eps> <eps> ADV ADJFS <eps> AUX ADJMS <eps> PROPN ADJFS NFS ADJFS VERB VERB DET NMS PREP DETFS NFS PREF VERB PREP PROPN	_
3	ADV DET ADJFP NFP PREFP VERB PREP DINTMS NMS PREP DET PROPN COCO PREFP VERB PREP DETMS NMS ADJMS ADJMS DINTMS NMS PREP NMS PREP DET NFS ADJFS PROPN XFAMIL	<eps> DET ADJFP NFP AUX <eps> PREP DINTMS NMS PREP DET PROPN COCO PREFP VERB PREP DETMS NMS ADJMS ADJMS DINTMS NMS <eps> <eps> PREP DET NFS ADJFS PROPN XFAMIL	_
4	PREP DETFS NFS ADV DETFS PROPN COCO DET NFP ADJFP DETFS PROPN VERB PREP NMS PREP PROPN XFAMIL XFAMIL PREP ADV ADV VERB DET NFP	<eps> DETFS PINDFS ADV DETFS PROPN COCO DET NFP ADJFP DETFS PROPN VERB PREP NMS PREP PROPN XFAMIL XFAMIL <eps> ADV ADV VERB DET NFP	_
5	PREP DET NMS VERB DET NFS ADJFS	DET <eps> NFS VERB DET NFS ADJFS	_
6	DET NMP VERB VERB DET NFP ADJFP	NMP <eps> VERB VERB DET NFP ADJFP	_
7	DINTMS NMS PROPN XFAMIL XFAMIL PREFP VERB PREP DETMS NMS PREP PROPN XFAMIL COCO ADV	NMP AUX ADV VPPMS <eps> PREFP VERB PREP DETMS NMS PREP PROPN XFAMIL <eps> ADV	_
8	PREP DETFS NFS ADJFS DETFS NFS ADJFS VERB DETFS NFS ADJFS CHIF ADJFP NFP PREP DET NMS PROPN XFAMIL COCO PROPN XFAMIL VERB PDEMMS ADJMS NMS ADV VERB PPER3MP AUX DET NMP PDEMMS NMS	<eps> DETFS NFS ADJFS DETFS NFS ADJFS VERB DETFS NFS ADJFS CHIF ADJFP NFP PREP DET PROPN XFAMIL XFAMIL <eps> XFAMIL XFAMIL XFAMIL PREP PRON <eps> <eps> VERB PPER3MP AUX DET NMP PDEMMS NMS	_
9	COCO ADV PDEMFS PDEMFS NFS PDEMMS NMS AUX ADV DETFS NFS <eps> DETFS NFS PREP PROPN NMS VPPMS PREP DETMS NMS PREP NMS PREFP PPOBJMS VERB PREP DET NMS ADJMS NMS PREP NMS PROPN PREP XFAMIL	<eps> <eps> <eps> PDEMFS NFS <eps> ADJFS AUX ADV DETFS NFS PREP DETFS NFS PREP PROPN NMS VPPMS PREP DETMS NMS PREP NMS PREFP PPOBJMS VERB PREP <eps> DET ADJMS NMS <eps> <eps> PROPN PREP XFAMIL	_
10	PROPN XFAMIL VERB <eps> PREP PREFP PRON PREL PPER3MS VERB VERB PDEMMS NMS PREP DET NFS PREP NFS PRON AUX ADV DET NMP PREP PROPN	PROPN XFAMIL VERB PROPN PREP PREFP PRON PREL PPER3MS VERB VERB PDEMMS NMS PREP DET NFS <eps> NFS PREF AUX ADV DET NMP PREP PROPN	_
11	COCO DET NFP VERB AUX VPPMS DETMS ADV ADJMS ADV DINTMS ADJMS NMS ADJ PREFP AUX DET NFS ADJFS PREP PROPN XFAMIL PREP DET NMP PREP DET NFP DETFS NFS COCO DET NFS AUX PREP ADJMS VPPMS DET NMS	<eps> DET NFP VERB AUX VPPMS DETMS ADV ADJMS ADV DINTMS ADJMS NMS ADJ PREFP AUX DET NMS ADJMS PREP PROPN XFAMIL PREP DET NMP PREP DET NFP DETFS NFS COCO DET NFS VERB PREP ADJMS VERB DET NMS	_
12	INTJ ADV DETFS NFS AUX ADV ADJFS COCO ADJFS AUX DETMS NMS ADV PREL VERB DET NFS PDEMMS PREP NMS DET NFP VERB ADV PREP CHIF ADV CHIF CHIF NMP NFS	INTJ ADV DETFS NFS AUX ADV ADJFS COCO ADJFS AUX DETMS NMS ADV PREL VERB DET NFS PDEMMS PUNCT <eps> DET NFP VERB ADV PREP CHIF ADV CHIF CHIF NMP NFS	_
13	ADV VERB DINTMS NMS VPPMS PREP PDEMMS NMS PREP NMS	ADV VERB DINTMS NMS VPPMS PREP PDEMMS NMS PREP NMS	_
14	ADV VERB ADV PREP ADV VERB DINTMS NMS ADV VPPMS COCO ADV COSUB DET CHIF CHIF CHIF NMP ADJMP ADJ VPPMP AUX DINTMS ADJMS ADV ADJMP PUNCT PPER3MP VERB <eps> PREP VERB NMS ADV	ADV VERB ADV PREP ADV VERB DINTMS NMS ADV VPPMS <eps> ADV COSUB DET CHIF CHIF CHIF NMP ADJMP ADJ VPPMP AUX DINTMS ADJMS ADV ADJMS ADV ADV PPER3MS VERB PREP NMS <eps> ADV	_
15	PREP VERB DETMS NMS COCO PREFP VERB VERB AUX VERB	PREP VERB DETMS NMS COCO PREFP VERB PREF <eps> VERB	_
16	COCO <eps> VERB PREP NMS PREP PPOBJMS DET NMP PREP NFS PREL VERB PREP VERB DETFS NFS DETFS NFS ADJFS PREP DET NMP ADJMP VERB PREP VERB ADJMP DET NMP ADJMP	VERB PREP VERB ADV <eps> PREP PPOBJMS DET NMP PREP NFS PREL VERB PREP VERB DETFS NFS DETFS NFS ADJFS PREP DET NMP COCO <eps> PREP VERB ADJMP DET NMP ADJ	_
17	PREP NFS COSUB PINDMS PREP PPOBJMP ADV PREF VERB PREP ADJMS PREFP VERB ADV PREP DET NFS PREP PREP DET NMP ADJMP PREP NFS PREP NFS COCO PPER1S VERB PREFP VERB COSUB DET NFS PREP NMS AUX ADV ADV ADJFS	PREP NFS COSUB PINDMS PREP PPOBJMP ADV PREF VERB PREP ADJMS PREFP VERB ADV PREP DET NFS <eps> PREP DET NMP <eps> PREP NFS PREP NFS COCO PPER1S VERB PREFP VERB COSUB DET NFS PREP NMS AUX ADV ADV ADJFS	_
18	<eps> CHIF CHIF NMP VPPMP ADV ADJMS CHIF NMP DETFS ADJFS ADJFS ADJFS NFS VERB COSUB PPER3MS ADV PPOBJMS VERB ADV DET ADJ NMP ADJMP	ADV CHIF NMP NMP VPPMP VERB ADJ CHIF NMP DETFS ADJFS ADJFS ADJFS NFS VERB COSUB PPER3MS ADV PPOBJMS VERB ADV DET ADJ NMP ADJMP	_
