BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	DANS SON ÉPOUSE BERRU CEBER FEMME SOURIRE EN DIRECT JUSQU'À DIX NEUF HEURES
DE BFM STORY CE SOIR LA ZONE EURO VA T ELLE ENCORE VIVRE UN ÉTÉ MEURTRIER L' ALLEMAGNE PREMIÈRE ÉCONOMIE EUROPÉENNE POURRAIT PERDRE SON TRIPLE A LA SITUATION SE DÉTÉRIORE EN ESPAGNE	DE L'INFANTERIE CE SOIR LA ZONE RHO MATEL ENCORE UN ÉTÉ MEURTRIER L'AMAILLE PREMIÈRE ÉCONOMIE EUROPÉENNE POURRAIT PERDRE SON TRIPLE À LA SITUATION SE INTÉRIEURE EN ESPAGNE
POURQUOI CES NOUVELLES TENSIONS NOUS SERONS AVEC UN SPÉCIALISTE DE L' ESPAGNE ET NOUS SERONS AVEC LE DÉPUTÉ SOCIALISTE RAPPORTEUR DU BUDGET EN DIRECT DE L' ASSEMBLÉE NATIONALE CHRISTIAN ECKERT	POURQUOI CES NOUVELLES TENSIONS NOUS SONT AVEC UN SPÉCIALISTE DE L'ESPAGNE ET NOUS SONT AVEC LE DÉPUTÉ SOCIALISTE RAPPORTEUR DU BUDGET ENVIRON D'ASSEMBLÉE NATIONALE CRISTIAN ECKER
À LA UNE ÉGALEMENT LA SYRIE ET LES ARMES CHIMIQUES LA RUSSIE DEMANDE AU RÉGIME DE BACHAR AL ASSAD DE NE PAS UTILISER CES ARMES	ALLEZ ÉGALEMENT LA SYRIE ET LES ARMES CHIMIQUES LA RUSSIVEMENT AU RÉGIME DE BACHER LASSALLE PEUT UTILISER SES ARMES
DE QUEL ARSENAL DISPOSE L' ARMÉE SYRIENNE	DE QUELLE ARSENAL DISPOSE L'ARMÉE SYRIENNE
QUELS DÉGATS POURRAIENT PROVOQUER CES ARMES CHIMIQUES	QUELQUES DÉGÂTS POURRAIENT PROVOQUER SES ARMES CHIMIQUES
UN SPÉCIALISTE JEAN PIERRE DAGUZAN NOUS RÉPONDRA SUR LE PLATEAU DE BFM STORY ET PUIS	UN SPÉCIALISTE BIEN DÉBUTANT DE RÉPONDRE SUR LE PLATEAU DE BEFENSTORI
APRÈS LA DROITE POPULAIRE LA DROITE HUMANISTE VOICI LA DROITE FORTE DEUX JEUNES POUSSES DE L' UMP GUILLAUME PELTIER ET GEOFFROY DIDIER LANCENT CE NOUVEAU MOUVEMENT POURQUOI FAIRE ILS SONT MES INVITÉS CE SOIR	APRÈS LA DROIT POPULAIRE LA DROITE HUMANISTE VOICI LA DROITE FORTE DEUX JEUNES POUSSES DE L'URUGUAY GIUPPETTI JEPRODIER LONG CE NOUVEAU MOUVEMENT POURQUOI FAIRE ILS SONT LES INVITÉS CE SOIR
ET PUIS C(ETTE) CETTE FOIS CI C' EST VRAIMENT LA FIN LA FIN DE FRANCE SOIR LIQUIDÉ PAR LE TRIBUNAL DE COMMERCE NOUS EN PARLERONS AVEC SON TOUT DERNIER RÉDACTEUR EN CHEF DOMINIQUE DE MONTVALON	ÉMISSION CETTE FOIS CI SES VRAIMENT LA FIN À LA FIN DE FRANÇOIS LIQUIDÉ PAR LE TRIBUNAL DE COMMERCES EN PARLERON AVEC SON TOUT DERNIER RÉDACTEUR EN CHEF DOMIQUE DE MONTBALLON
DAMIEN GOURLET BONSOIR AVEC VOUS CE QU' IL FAUT RETENIR CE SOIR DANS L' ACTUALITÉ L' ACTUALITÉ CE SONT ENCORE LES INCENDIES EN ESPAGNE	DAMIEN BOURGLET BONSOIR SORTAIT AVEC VOUS CE QU'IL FAUT RETIR CE SOIR DANS L'ACTUALITÉ ACTUELLE CE SONT ENCORE LES INCENDIES EN ESPAGNE
ET LES AUTORITÉS PENSAIENT AVOIR FAIT LE PLUS DUR PAS DU TOUT PERRINE BAGLAN VOUS ÊTES L' ENVOYÉE SPÉCIALE DE BFM TV CHEZ LES POMPIERS DEPUIS QUELQUES HEURES LA VIGILANCE ET L' INQUIÉTUDE ONT DE NOUVEAU REMPLACÉ L' ESPOIR	ET LES AUTORITÉS PENSENT AVOIR FAIT LE PLUS DUR PAS DU TOUT À PÉRINE BAGLAND VOUS EST L'ENVOYER SPÉCIAL D'INFANTERE CHEZ LES POMPIERS DEPUIS QUELQUES HEURES LA VIGILANCE ET L'INQUIÉTUDE ONT DE NOUVEAU REMPLACÉ L'ESPOIR
OUI EFFECTIVEMENT LA SITUATION EST TRÈS ÉVOLUTIVE ET C' EST LE VENT ICI QUI DICTE SA LOI CET APRÈS MIDI LES RAFALES ATTEIGNENT JUSQU' À TRENTE PARFOIS TRENTE CINQ KILOMÈTRES HEURE	OU EFFECTIVEMENT LA SITUATION EST TRÈS ÉVOLUTIVE ET S ÉLEVANT ICI QUI DITES SALOI CET APRÈS MIDI LES RAFALES ATTEIGNENT JUSQU'À TRENTE PARFOIS TRENTE CINQ KILOMÈTRES
AUTREMENT DIT UN FEU MAÎTRISÉ COMME CE MATIN PAR EXEMPLE	AUTREMENT DIT UN FEU MAÎTRISÉ COMME CE MATIN PAR EXEMPLE
NE VEUT PAS POUR AUTANT DIRE UN FEU COMPLÈTEMENT ÉTEINT ET MÊME SI LES QUATRE CENT QUINZE SAPEURS POMPIERS FRANÇAIS MOBILISÉS ÉTAIENT UN PETIT PEU FATIGUÉS AUJOURD'HUI ILS TRAVAILLENT D' ARRACHE PIED NÉANMOINS	NE VEUT PAS POUR ENTENDRE UN PEU COMPLÈTEMENT ÉTEINT ET MÊME SI LES QUATRE CENT QUINZE À PART COPIR FRANCIS MOBILISAIENT ÉTÉ ANTI PEU FATIGUÉS AUJOURD'HUI IL TRAVAILLE D'ARRACHE PIERRE NÉANMOINS NÉANMOINS
POUR QUADRILLER LE SECTEUR ET VOUS POUVEZ PEUT ÊTRE ENTENDRE	POUR QUADRIER LE SECTEUR ET VOUS POUVEZ PEUT ÊTRE ENTENDRE
ET VOIR AU DESSUS DE MOI LES BOMBARDIERS D' EAU QUI CONTINUENT DE SURVOLER LA ZONE LA MISSION PREMIÈRE DE CES SAPEURS POMPIERS EST DE SURVEILLER TOUS LES FOYERS INACTIFS	ET VOIR AU DESSUS AU DEUX MOIS LES BOMBARDS DIEDO QUI CONTINUENT DE SURVOLER LA ZONE LA MISSION PREMIÈRE DE CES UNS SAPEURS POMPIERS ET DE SURVEILLER TOUS LES FEUILLETS INATT
