BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	SONT NÉCESSAIRES FEMMES SOURIS EN DIRECT JUSQU À À DIX NEUF HEURES
DE BFM STORY CE SOIR LA ZONE EURO VA T ELLE ENCORE VIVRE UN ÉTÉ MEURTRIER L' ALLEMAGNE PREMIÈRE ÉCONOMIE EUROPÉENNE POURRAIT PERDRE SON TRIPLE A LA SITUATION SE DÉTÉRIORE EN ESPAGNE	L INFANTERIE CE SOIR LA ZONE NEUROMATELLE ENCORE VIVANT EN ÉTÉ MEURTRIER L ALLEMAGNE PREMIÈRE ÉCONOMIE EUROPÉENNE POURRAIT PERDRE SON TRIPLERA LA SITUATION SE DÉTÉRIEURE EN ESPAGNE
POURQUOI CES NOUVELLES TENSIONS NOUS SERONS AVEC UN SPÉCIALISTE DE L' ESPAGNE ET NOUS SERONS AVEC LE DÉPUTÉ SOCIALISTE RAPPORTEUR DU BUDGET EN DIRECT DE L' ASSEMBLÉE NATIONALE CHRISTIAN ECKERT	POURQUOI CES NOUVELLES TENSIONS NE SONT AVEC UN SPÉCIALISTE DE L ESPAGNE ET NOUS SONT AVEC LE DÉPUTÉ SOCIALISTE RAPPORTEUR DU MUSÉE INDIEN D ASSEMBLÉE NATIONALE CHRISTIAN ÉQUERRE
À LA UNE ÉGALEMENT LA SYRIE ET LES ARMES CHIMIQUES LA RUSSIE DEMANDE AU RÉGIME DE BACHAR AL ASSAD DE NE PAS UTILISER CES ARMES	ELLE AIME ÉGALEMENT LA SÉRIE ET LES ARMES CHIMIQUES LA RUSSIE DEMANDE AU RÉGIME DE MACHÈRE LA SALLE ET UNE PART D UTILISER SES ARMES
DE QUEL ARSENAL DISPOSE L' ARMÉE SYRIENNE	DEUX CAS L ARSENAL DISPOSENT L ARMÉE SYRIENNE
QUELS DÉGATS POURRAIENT PROVOQUER CES ARMES CHIMIQUES	QUEL DÉGÂT POURRAIT PROVOQUER SES ARMES CHIMIQUES
UN SPÉCIALISTE JEAN PIERRE DAGUZAN NOUS RÉPONDRA SUR LE PLATEAU DE BFM STORY ET PUIS	UN SPÉCIALISTE BIEN DÉGUSTANT NOUS RÉPONDRA SUR LE PLATEAU DE BASSE HISTORIQUE
APRÈS LA DROITE POPULAIRE LA DROITE HUMANISTE VOICI LA DROITE FORTE DEUX JEUNES POUSSES DE L' UMP GUILLAUME PELTIER ET GEOFFROY DIDIER LANCENT CE NOUVEAU MOUVEMENT POURQUOI FAIRE ILS SONT MES INVITÉS CE SOIR	APRÈS LA DROITE POPULAIRE LA DROITE HUMANISTE VOICI LA DROITE FORTE DEUX JEUNES POULES DE L OLYMPIGOPETIER JOPRO DIDIER LANCE CE NOUVEAU MOUVEMENT POUR QUOI FAIRE ILS SONT LES INVITÉS CE SOIR
ET PUIS C(ETTE) CETTE FOIS CI C' EST VRAIMENT LA FIN LA FIN DE FRANCE SOIR LIQUIDÉ PAR LE TRIBUNAL DE COMMERCE NOUS EN PARLERONS AVEC SON TOUT DERNIER RÉDACTEUR EN CHEF DOMINIQUE DE MONTVALON	ET PUISSEZ VOUS SAVOIR SI CES ROMANS LA FIN À LA FIN DE FRANÇOIS LIQUIDÉS PAR LE TRIBUNAL DE COMMERCES EN PARLERONS AVEC SON TOUT DERNIER RÉACTEUR EN CHEF DOMINIQUE DE MONTALEON
DAMIEN GOURLET BONSOIR AVEC VOUS CE QU' IL FAUT RETENIR CE SOIR DANS L' ACTUALITÉ L' ACTUALITÉ CE SONT ENCORE LES INCENDIES EN ESPAGNE	DANIAGON LES BONSOIR SOR É AVEC VOUS CE QU IL FAUT RETIR CE SOIR DANS L ACTUALITÉ ACTUALITÉ CE SONT ENCORE LES INCENDIES EN ESPAGNE
ET LES AUTORITÉS PENSAIENT AVOIR FAIT LE PLUS DUR PAS DU TOUT PERRINE BAGLAN VOUS ÊTES L' ENVOYÉE SPÉCIALE DE BFM TV CHEZ LES POMPIERS DEPUIS QUELQUES HEURES LA VIGILANCE ET L' INQUIÉTUDE ONT DE NOUVEAU REMPLACÉ L' ESPOIR	ET LES AUTORITÉS PONSENT AVOIR FAIT LE PLUS DUR PAS DU TOUT UN PÉRINMAGLANT VOUS ÊTES L ENVOYÉ SPÉCIAL DES INFANTTÉS CHEZ LES POMPIERS DEPUIS QUELQUES HEURES LA VIGILANCE ET L INQUIÉTUDE ONT DE NOUVEAU REMPLACÉ L ESPOIR
OUI EFFECTIVEMENT LA SITUATION EST TRÈS ÉVOLUTIVE ET C' EST LE VENT ICI QUI DICTE SA LOI CET APRÈS MIDI LES RAFALES ATTEIGNENT JUSQU' À TRENTE PARFOIS TRENTE CINQ KILOMÈTRES HEURE	OU EFFECTIVEMENT LA SITUATION EST TRÈS ÉVOLUTIVE ET C EST LE VENT ICI QUI DICTE SA LOUIS CET APRÈS MIDI ET LES RAFALES ATTEIGNENT JUSQU À TRENTE PARFOIS TRENTE CINQ KILOMÈTRES
AUTREMENT DIT UN FEU MAÎTRISÉ COMME CE MATIN PAR EXEMPLE	AUTREMENT DIT UN FEU MAITRISÉ COMME CE MATIN PAR EXEMPLE
NE VEUT PAS POUR AUTANT DIRE UN FEU COMPLÈTEMENT ÉTEINT ET MÊME SI LES QUATRE CENT QUINZE SAPEURS POMPIERS FRANÇAIS MOBILISÉS ÉTAIENT UN PETIT PEU FATIGUÉS AUJOURD'HUI ILS TRAVAILLENT D' ARRACHE PIED NÉANMOINS	NE VEUT PAS POUR AUTANT DIRE UN PEU COMPLÈTEMENT ÉTEINT ET MÊME SI LES QUATRE VINGT QUINZE FAPEURS POPULAIRES FRANÇAIS MOBILISAIENT ÉTAIENT UN TYPE FATIGUÉ AUJOURD HUI ILS TRAVAILLENT D ARRAS PIED NÉANMOINS
POUR QUADRILLER LE SECTEUR ET VOUS POUVEZ PEUT ÊTRE ENTENDRE	POUR QUADRIER LE SECTEUR IL VOUS POUVAIT PEUT ÊTRE ENTENDRE
ET VOIR AU DESSUS DE MOI LES BOMBARDIERS D' EAU QUI CONTINUENT DE SURVOLER LA ZONE LA MISSION PREMIÈRE DE CES SAPEURS POMPIERS EST DE SURVEILLER TOUS LES FOYERS INACTIFS	ET VOIR AU DESSUS DE MOI LES BOMBARDIERS D EAU QUI CONTINUE DE SURVOLER LA ZONE LA MISSION PREMIÈRE DE SES SAPEURS POMPIERS ET D A SURVEILLER TOUS LES FOYERS INACTÉS
DE SORTE QUE AUCUN D' EUX NE S' EMBRASE À NOUVEAU NOUS ÉTIONS TOUT À L' HEURE A(VEC) AVEC LES SAPEURS POMPIERS EN MISSION DE RECONNAISSANCE ET JE PEUX VOUS DIRE QUE L' ODEUR DE BRÛLÉ EST ENCORE PARTICULIÈREMENT INTENSE	NE SORTANT QUE AUCUN D EUX NE S EMBRÈSE À NOUVON NOUS ÉTIONS TOUT À L HEURE AVEC LES FAPEURS POMPIERS EN MISSIONS DE RECONNAISSANCE ET JE PEUX VOUS DIRE QUE L ODEUR DE BRULEY EST ENCORE PARTICULIÈREMENT INTENSE
QUINZE MILLE HECTARES DÉVASTÉS CÔTÉ ESPAGNOL QUATRE MORTS LA SEULE BONNE NOUVELLE C' EST QUE IL N' Y A PAS DE GROS DÉGÂTS MATÉRIELS	VINGT QUINZE MILLE HECTARES DÉVASTÉES CÔTÉS ESPAGNOLES QUATRE MORTS LA SALLE NOUVELLE C EST QUE N Y A PAS DE GROS DÉGÂTS MATÉRIELS
OUI EFFECTIVEMENT (N) LES DÉGÂTS SONT PLUTÔT RELATIVEMENT LIMITÉS COMPTE TENU DE L' INTENSITÉ DE L' INCENDIE NOUS SOMMES ICI SUR LES HAUTEURS DE PERTHUS	OU EFFECTIVEMENT LES DES GUERRES SONT PLUTÔT RELATIVEMENT LIMITÉES CONTENUS DE L INTENSITÉ DE L INCENDIE NOUS SOMMES ICI SUR LES HAUTEURS DE PERTUS
LE DERNIER VILLAGE AVANT LA FRONTIÈRE ESPAGNOLE ET C' EST ICI MÊME AU PIED DU FORT DE BELLEGARDE QUE LE BRASIER A COMMENCÉ IL Y A TROIS JOURS COMME VOUS POUVEZ LE VOIR DERRIÈRE MOI	LE DERNIER VILLAGE AVANT LA FRONTIÈRE ESPAGNOLE EST FAIT ICI MÊME AU PIED DU FORT DE BELLEGARDE QUE LE BRASIER A COMMENCÉ LES LIENS AUX TROIS JOURS COMME VOUS POUVEZ LE VOIR DERRIÈREMENT
C' EST UN SECTEUR TRÈS PEU HABITÉ ET LES RARES MAISONS ISOLÉES ONT FORT HEUREUSEMENT ÉTÉ SAUVÉES DES FLAMMES PAR L' INTERVENTION	C EST UN SECTEUR TRÈS PEU HABITÉ ET LES RARES MAISONS ISOLÉES ONT FORT HEUREUSEMENT ÉTÉ SAUVÉES DES FEMMES PAR L INTERVENTION
DES POMPIERS NÉANMOINS C' EST UNE ZONE EXTRÊMEMENT DENSE ET DONC AVEC BEAUCOUP DE VÉGÉTATION UN SECTEUR DONC À TRÈS HAUT RISQUE LES RARES RIVERAINS QUE NOUS AVONS PU CROISER	DES POMPIERS NÉANMOINS C EST UNE ZONE EXTRÊMEMENT DENSE ET DONC AVEC BEAUCOUP DE VÉGÉTATIONS INFECTEURS DONC ATTRIBORISTES L ERREUR ARRIVERA QUE NOUS AVONS PU CROISER
OSCILLAIENT TOUT À L' HEURE ENTRE LA LA DÉSOLATION DE VOIR FINALEMENT CE PAYSAGE COMPLÈTEMENT RAVAGÉ PAR LES FLAMMES MAIS AUSSI L' INQUIÉTUDE DE SAVOIR QU' EST CE QU' IL POURRA SE PASSER DANS LES PROCHAINES HEURES DANS LES	AUSSI EST TOUT À L HEURE ENTRE LA DÉSOLATION DE VOIR FINALEMENT DE CE PAYSAGE COMPLÈTEMENT RAVAGÉ PAR LES FEMMES MAIS AUSSI L INQUIÉTUDE DE SAVOIR QU ELLE POURRAIT SE PASSER DANS LES PROCHAINES GENRES DANS LES
PROCHAINS JOURS SI EFFECTIVEMENT LE VENT REDOUBLE D' INTENSITÉ	SI UN JOUR SI EFFECTIVEMENT LE VENT REDOUBLE D INTENSITÉ
